bike_name,price,city,kms_driven,owner,age,power,brand
1,1,1,1,1,1,1,1
2,2,2,2,1,2,2,2
3,3,2,3,1,3,3,3
4,4,3,4,1,2,4,1
5,5,3,5,1,1,5,4
6,6,2,6,1,4,5,4
7,7,2,7,1,1,6,5
8,8,2,8,1,1,7,6
9,9,3,9,1,1,2,2
10,10,2,10,2,5,8,2
11,11,3,11,1,5,5,4
12,12,3,12,1,2,9,4
13,13,3,13,1,2,10,7
14,14,2,11,1,3,7,7
15,15,2,11,1,5,11,7
16,16,3,14,1,1,10,7
17,17,3,15,1,1,10,7
18,18,4,16,1,6,5,8
19,19,4,17,2,1,12,9
20,20,2,18,1,7,1,6
21,21,5,19,1,6,8,2
22,8,2,15,1,4,5,4
23,22,1,20,1,8,11,6
24,23,6,21,2,5,11,5
25,24,3,10,1,3,5,7
26,25,7,22,1,7,6,5
13,10,8,23,1,1,10,7
11,5,9,11,2,2,5,4
27,26,10,24,1,4,13,7
28,27,11,25,1,2,14,10
29,28,12,26,1,3,5,5
30,29,13,27,2,3,10,10
2,30,14,28,1,6,2,2
31,4,15,29,1,4,5,5
32,31,16,30,1,7,8,2
33,32,3,31,1,7,10,10
34,29,17,32,1,3,2,2
27,8,8,33,1,4,13,7
35,13,18,34,1,9,2,2
36,33,3,35,1,7,13,7
2,7,2,36,1,4,2,2
13,34,2,37,1,10,10,7
34,35,12,38,1,11,2,2
37,36,19,32,1,7,1,11
38,37,4,39,1,3,5,6
39,38,2,40,1,1,5,8
40,28,20,41,1,3,5,4
41,16,2,42,1,5,2,2
42,39,4,26,1,6,6,1
43,40,21,26,2,5,11,5
27,28,1,43,1,5,13,7
44,41,4,44,2,1,15,9
45,42,1,45,1,6,1,5
46,43,22,46,1,10,5,4
47,44,3,32,1,5,5,8
48,4,23,37,1,6,13,7
25,43,4,38,1,10,5,7
49,45,24,47,1,7,16,12
35,46,2,48,2,1,2,2
50,5,2,49,1,1,13,7
34,10,2,10,1,6,2,2
30,47,25,50,1,2,10,10
51,48,26,51,1,12,7,6
2,49,2,10,1,4,2,2
50,50,8,52,1,13,13,7
52,51,27,53,1,5,17,12
34,33,2,54,1,4,2,2
53,52,28,55,1,11,11,7
34,4,29,56,1,14,2,2
9,53,3,24,1,1,2,2
54,54,30,57,2,5,18,6
55,8,3,58,1,3,4,7
56,55,31,59,1,7,9,4
34,56,3,60,1,2,2,2
57,57,12,61,1,1,7,7
17,58,4,5,1,6,10,7
11,59,4,62,2,1,5,4
58,60,32,63,1,7,17,2
43,34,3,64,1,5,11,5
59,61,33,65,2,2,9,10
60,62,10,10,1,2,19,2
61,63,2,5,1,14,20,7
34,7,31,66,1,4,2,2
62,28,4,67,1,5,13,7
63,24,3,10,1,4,5,4
34,64,4,68,1,5,2,2
13,65,3,69,1,2,10,7
64,66,4,70,1,15,21,13
65,67,4,10,1,1,22,3
66,68,3,71,1,2,5,7
25,39,11,72,1,7,5,7
67,69,28,73,1,15,5,8
68,70,2,74,1,6,7,6
25,1,34,75,1,9,5,7
69,19,3,2,1,1,14,10
70,71,2,76,1,5,9,5
71,5,3,77,1,6,10,7
2,72,3,32,1,6,2,2
25,73,11,78,3,13,5,7
72,74,4,79,1,2,15,9
73,4,35,80,1,1,5,8
74,39,3,24,1,6,5,4
31,5,3,81,1,2,5,5
8,75,2,82,1,1,7,6
75,12,3,83,1,14,8,2
76,76,2,84,1,2,17,14
66,77,3,40,1,2,5,7
77,78,2,76,1,6,5,4
66,79,6,74,1,2,5,7
78,80,2,85,1,1,6,1
17,81,21,86,1,2,10,7
79,82,36,87,1,4,23,9
80,83,2,10,1,6,11,5
70,84,2,88,1,10,9,5
81,85,37,89,1,2,7,6
82,86,37,90,1,4,7,6
20,87,37,91,1,7,1,6
31,28,4,92,1,10,5,5
83,88,3,93,1,6,15,4
84,89,4,94,1,1,24,13
60,33,3,95,1,6,19,2
2,90,2,2,1,4,2,2
13,91,3,96,1,6,10,7
85,92,2,5,1,11,2,2
30,71,2,76,1,10,10,10
86,93,38,97,1,6,11,1
42,28,2,11,1,4,6,1
2,94,2,36,1,6,2,2
87,95,39,18,1,4,25,15
18,68,19,98,1,4,5,8
47,96,3,99,1,4,5,8
47,79,3,100,1,6,5,8
62,18,3,101,1,3,13,7
50,77,3,102,1,4,13,7
88,97,28,103,1,7,19,2
35,98,2,88,1,3,2,2
13,56,3,104,1,7,10,7
89,99,8,105,1,5,5,7
90,11,8,106,1,2,13,7
91,56,8,107,1,1,2,2
92,4,4,72,1,1,11,5
93,100,4,108,1,7,5,5
11,101,2,109,2,5,5,4
94,102,2,110,1,7,5,4
30,61,2,111,1,1,10,10
95,75,2,112,1,5,10,7
23,57,2,113,1,4,11,6
96,103,2,114,1,1,26,7
2,61,2,115,1,1,2,2
2,104,2,116,1,6,2,2
2,7,2,117,1,4,2,2
66,24,2,118,1,2,5,7
34,105,3,119,1,6,2,2
34,106,2,120,1,3,2,2
97,5,36,78,1,7,6,5
2,107,19,121,1,1,2,2
98,108,31,122,1,1,27,8
2,109,1,123,1,2,2,2
99,3,3,76,1,6,28,13
100,5,2,18,1,1,5,4
101,65,40,124,1,2,5,8
23,110,37,125,1,7,11,6
102,62,2,126,2,6,10,10
22,71,3,127,1,6,5,4
103,52,3,15,1,3,11,7
104,111,2,128,1,7,7,6
105,112,2,38,1,16,18,6
30,12,32,15,1,6,10,10
30,9,41,129,1,2,10,10
6,113,2,130,1,1,5,4
106,43,8,32,1,10,7,6
107,114,1,131,1,4,29,13
108,115,3,18,1,1,8,2
90,116,4,26,1,6,13,7
109,117,24,38,1,10,5,4
110,118,42,83,1,13,11,4
111,99,3,132,1,3,18,6
40,119,3,133,1,4,5,4
112,120,19,134,2,5,30,15
113,71,3,135,1,6,10,1
50,5,11,104,1,2,13,7
10,121,4,136,1,4,8,2
114,7,8,76,1,7,6,1
85,9,3,108,1,7,2,2
115,9,3,137,1,1,26,7
116,122,4,138,1,1,2,2
117,39,4,108,1,7,7,6
2,102,4,2,1,2,2,2
30,7,4,24,1,5,10,10
50,123,4,24,1,1,13,7
35,56,8,139,1,2,2,2
118,124,3,140,1,1,5,8
55,36,3,141,1,13,4,7
82,125,2,37,1,12,7,6
119,126,2,83,1,6,1,6
55,127,2,142,1,6,4,7
94,128,2,5,1,1,5,4
120,129,2,24,1,4,7,7
121,130,2,142,1,2,10,1
122,131,2,87,1,2,2,2
123,36,3,143,1,10,1,1
2,61,2,144,1,1,2,2
2,61,2,145,1,1,2,2
96,56,2,146,1,2,26,7
102,132,2,123,1,4,10,10
124,50,2,147,1,2,7,7
11,105,8,148,1,2,5,4
88,133,43,138,1,7,19,2
88,134,3,2,1,7,19,2
102,135,44,149,3,4,10,10
90,136,2,15,2,6,13,7
2,137,2,76,1,2,2,2
125,138,2,150,1,7,31,13
6,57,45,151,1,4,5,4
120,139,2,83,1,4,7,7
126,56,2,5,1,2,2,2
66,77,46,137,1,2,5,7
103,22,6,152,1,10,11,7
119,140,47,153,1,2,1,6
127,36,48,154,1,6,7,1
23,141,49,155,1,1,11,6
115,142,50,156,1,7,26,7
35,13,51,11,1,3,2,2
24,143,3,157,1,11,11,5
128,144,3,158,1,4,10,7
27,145,4,159,1,4,13,7
129,146,8,160,1,1,8,2
27,18,52,142,1,5,13,7
130,28,49,108,1,6,1,5
115,147,53,161,1,2,26,7
22,4,31,162,1,1,5,4
28,148,54,163,1,2,14,10
25,149,55,164,1,9,5,7
30,150,4,11,1,4,10,10
27,151,56,36,2,6,13,7
55,152,57,165,1,5,4,7
13,68,2,166,1,3,10,7
14,153,2,167,1,5,7,7
131,92,3,10,1,2,5,8
47,154,58,108,1,1,5,8
71,7,59,168,1,4,10,7
42,39,4,76,1,6,6,1
115,155,60,169,1,2,26,7
66,156,3,170,1,6,5,7
81,57,2,15,1,3,7,6
102,102,61,171,1,4,10,10
28,157,2,172,1,7,14,10
132,158,2,173,2,4,5,4
133,105,3,6,1,3,8,2
102,159,8,5,1,1,10,10
134,13,62,174,1,4,2,2
66,8,63,138,1,2,5,7
41,39,10,175,1,10,2,2
102,53,64,176,1,6,10,10
135,37,4,177,1,6,5,7
2,81,32,2,1,6,2,2
71,29,4,178,1,6,10,7
50,28,65,6,1,5,13,7
136,113,2,179,1,7,11,4
58,160,3,180,1,7,17,2
66,141,66,24,1,2,5,7
34,7,4,181,1,5,2,2
48,79,10,149,1,6,13,7
90,65,2,182,1,1,13,7
28,115,39,15,1,6,14,10
13,49,2,183,1,7,10,7
137,161,4,184,3,6,3,3
138,7,2,24,1,5,9,5
82,162,1,185,1,3,7,6
139,53,57,186,2,4,9,14
140,82,23,163,1,7,32,16
141,24,2,187,1,2,11,7
14,163,67,10,1,4,7,7
142,164,65,188,1,2,11,7
6,129,66,6,1,11,5,4
54,8,53,36,1,5,18,6
69,82,31,78,1,2,14,10
35,165,2,2,1,10,2,2
143,166,68,73,2,2,9,4
2,72,2,189,1,2,2,2
87,167,4,190,1,4,25,15
54,91,2,180,1,14,18,6
144,168,29,137,1,7,10,6
25,169,64,191,1,14,5,7
77,170,49,192,1,4,5,4
19,171,2,193,1,1,12,9
145,172,69,194,2,1,6,5
35,59,2,195,1,5,2,2
2,17,31,78,1,6,2,2
78,5,2,138,1,1,6,1
146,173,3,196,1,7,5,8
27,174,2,67,1,4,13,7
13,175,3,197,1,2,10,7
104,28,2,74,1,1,7,6
38,176,4,198,1,13,5,6
139,177,70,177,1,6,9,14
13,75,4,199,1,4,10,7
28,178,12,200,1,2,14,10
45,179,2,201,1,5,1,5
48,180,11,202,2,1,13,7
147,181,2,203,1,7,1,6
100,106,2,186,1,1,5,4
54,77,8,204,1,5,18,6
75,182,4,205,1,10,8,2
2,183,70,206,1,4,2,2
148,184,8,177,1,1,33,4
149,81,8,153,1,17,2,2
150,185,6,207,1,3,7,6
87,186,2,88,2,6,25,15
115,137,31,208,1,2,26,7
151,22,3,209,1,4,1,5
2,10,59,210,1,11,2,2
152,68,71,211,1,7,11,7
90,12,2,2,1,7,13,7
94,183,11,212,1,1,5,4
69,187,2,78,1,1,14,10
153,188,72,137,1,15,11,5
57,22,73,213,1,6,7,7
25,112,4,152,2,9,5,7
66,189,49,104,1,6,5,7
2,131,2,194,1,6,2,2
2,150,2,24,1,5,2,2
115,62,8,214,1,1,26,7
2,190,10,215,1,2,2,2
154,152,2,10,1,6,6,5
155,8,74,24,1,2,1,5
156,191,75,189,1,1,34,17
78,192,76,216,1,7,6,1
70,193,4,217,2,5,9,5
157,1,2,36,1,4,5,7
66,194,2,123,1,6,5,7
158,81,77,87,3,14,9,12
60,55,8,218,1,6,19,2
159,195,78,219,1,4,35,9
160,196,31,220,1,4,36,18
52,3,40,221,1,15,17,12
102,197,36,137,1,7,10,10
81,126,2,204,1,6,7,6
23,34,2,87,1,2,11,6
66,1,3,222,1,6,5,7
161,152,3,223,1,1,5,6
162,198,3,224,2,9,5,1
163,199,4,176,1,6,17,12
164,200,57,15,1,5,7,6
82,34,11,225,2,6,7,6
91,65,6,64,1,3,2,2
79,201,31,226,1,2,23,9
42,162,2,11,1,3,6,1
34,75,31,37,1,8,2,2
2,202,2,71,1,6,2,2
66,1,2,36,1,6,5,7
165,4,2,36,1,1,6,7
140,146,3,84,1,7,32,16
2,203,3,15,1,2,2,2
43,43,8,194,1,10,11,5
29,204,4,104,1,7,5,5
166,115,4,176,1,7,2,2
17,61,4,24,1,7,10,7
43,205,11,142,2,13,11,5
94,206,3,186,1,1,5,4
2,207,3,138,1,1,2,2
61,153,3,227,2,10,20,7
167,11,2,228,1,1,5,8
168,208,2,5,1,7,10,1
62,209,2,5,1,2,13,7
169,210,2,229,1,2,7,7
50,5,2,123,1,1,13,7
50,211,3,83,1,1,13,7
2,56,2,24,2,6,2,2
170,212,2,5,1,7,1,6
50,65,3,76,1,2,13,7
171,11,3,230,1,4,5,4
47,170,3,231,1,2,5,8
13,213,2,149,1,4,10,7
78,130,2,56,1,1,6,1
172,150,2,138,1,7,6,1
4,28,2,232,2,4,4,1
173,9,62,76,1,6,23,11
58,214,3,233,1,7,17,2
79,215,3,138,1,2,23,9
87,76,12,137,1,4,25,15
151,57,11,2,1,9,1,5
102,102,70,103,1,6,10,10
12,104,3,123,1,1,9,4
34,209,2,234,2,4,2,2
174,65,3,235,1,1,10,1
175,216,79,236,1,3,11,6
162,217,2,237,1,13,5,1
176,91,3,123,1,6,5,7
42,117,2,238,1,9,6,1
165,101,2,239,1,1,6,7
59,218,2,240,1,1,9,10
2,183,2,11,1,6,2,2
131,24,2,78,1,2,5,8
177,62,3,78,1,5,37,2
178,219,2,241,1,6,11,6
102,53,80,74,1,2,10,10
50,29,29,104,1,2,13,7
134,137,3,242,1,4,2,2
96,72,31,104,1,2,26,7
115,102,31,176,1,2,26,7
147,220,81,149,1,3,1,6
28,201,2,243,1,2,14,10
43,96,57,6,1,6,11,5
176,168,8,176,1,2,5,7
96,72,2,138,1,2,26,7
142,8,10,244,1,2,11,7
66,39,2,18,1,2,5,7
119,28,2,24,1,2,1,6
2,221,2,186,1,2,2,2
14,43,1,64,1,5,7,7
179,222,3,128,1,1,5,8
138,61,2,214,2,3,9,5
180,43,1,245,1,6,7,6
62,65,2,24,1,2,13,7
55,96,2,5,1,6,4,7
181,43,2,246,1,4,11,8
25,20,1,247,1,6,5,7
182,223,11,248,3,4,1,11
183,224,82,5,1,3,1,11
55,119,2,123,1,2,4,7
184,29,1,177,1,2,6,5
11,7,17,249,1,6,5,4
2,53,2,108,1,7,2,2
2,56,83,67,1,6,2,2
31,225,10,250,1,6,5,5
69,177,3,251,1,6,14,10
17,13,2,76,1,4,10,7
34,7,40,252,1,5,2,2
25,226,2,204,1,6,5,7
42,227,1,253,1,2,6,1
21,228,3,254,2,6,8,2
185,229,84,255,1,2,25,15
74,4,85,64,1,2,5,4
31,77,19,72,1,10,5,5
134,203,2,256,1,2,2,2
186,230,2,5,1,7,7,6
13,168,2,5,1,2,10,7
115,102,4,244,1,2,26,7
187,231,2,257,1,9,20,7
4,170,65,163,1,1,4,1
188,232,3,258,2,3,11,7
89,233,10,28,1,4,5,7
18,156,2,176,1,6,5,8
87,234,11,229,2,6,25,15
