brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ssd,hdd,os,os_bit,graphic_card_gb,Price,Number of Ratings,Number of Reviews
0,0,0,0,0,0,0,0,0,0,34649,3,0
1,0,0,0,0,0,0,0,0,0,38999,65,5
1,0,0,0,0,0,0,0,0,0,39999,8,1
0,0,1,0,1,1,1,0,1,1,69990,0,0
0,0,2,1,0,0,2,0,0,0,26990,0,0
0,0,2,1,0,0,2,0,0,0,22990,0,0
0,0,2,1,0,0,2,0,1,0,21990,31,3
0,0,1,0,1,0,0,0,1,1,58799,0,0
1,0,1,0,0,0,0,0,1,0,49999,0,0
2,1,3,0,0,0,2,0,1,2,59990,1946,240
2,1,3,0,0,0,2,0,1,3,93700,259,47
2,1,3,0,0,0,2,0,1,2,72990,425,67
3,0,2,1,0,0,2,0,0,0,17490,1120,196
0,0,0,2,0,2,1,0,0,0,35990,0,0
4,0,0,2,1,2,1,0,0,0,56490,0,0
4,0,1,2,1,2,1,0,0,0,65390,0,0
1,0,2,1,0,2,1,0,0,0,31999,286,19
4,0,2,1,1,2,1,0,0,0,32490,58,6
1,0,2,1,0,2,1,0,0,0,31799,0,0
0,0,2,1,0,2,1,0,0,0,29890,7,0
0,0,2,1,0,0,0,0,0,0,23990,15279,1947
4,0,0,3,0,0,0,0,0,0,32955,311,27
4,0,1,3,0,0,0,0,1,1,46200,47,7
0,0,0,2,0,2,1,0,0,0,34429,37,6
1,0,0,0,1,2,1,0,1,0,37990,2080,235
0,0,0,2,0,2,1,0,1,0,35990,1479,181
0,0,0,0,1,2,1,0,0,0,33980,67,3
4,0,0,2,1,2,1,0,0,0,39990,273,30
5,0,0,0,1,2,1,0,0,0,39490,1267,171
4,0,0,2,1,2,1,0,0,0,53990,14,0
2,0,0,2,1,2,1,0,0,0,38990,0,0
0,0,0,2,1,2,1,0,0,0,37990,284,39
0,0,0,2,1,2,1,0,0,0,37890,44,5
1,0,0,2,1,2,1,0,0,0,38990,33,4
1,0,0,0,1,2,1,0,0,0,37990,286,36
5,0,0,2,1,2,1,0,0,0,41990,10,5
0,0,0,2,1,2,1,0,0,0,45990,816,147
1,0,0,2,1,2,1,0,0,0,39990,543,65
5,0,0,2,1,2,1,0,0,0,42490,9,1
5,0,0,0,0,2,1,0,0,0,36990,1178,137
1,0,0,2,1,2,1,0,0,0,53990,299,41
0,0,0,2,1,2,1,0,0,0,36990,20,1
